WorkerId,RequesterFeedback,WorkTimeInSeconds,Input.media-link,Input.task_description,Input.image_url_1,Answer.Label,Answer.Sentiment
A1YGSIQI52QT9L,,35,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Observation,Negative
ADKZT38GVYPKG,,25,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Explanation,Neutral
A24J49GQTKPH0T,,128,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Observation,Negative
A36MOV8E6SYHCR,,4653,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Procedure,Neutral
A2NJTYYY37DNO,,9,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Reading,Neutral
A9Y1HKUEOOEPM,,43,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Procedure,Positive
A3E4I2AYEZGYT5,,55,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Procedure,Negative
A3SEOHQOU2R8XW,,65,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Procedure,Neutral
A11RW2ST75JQZN,,22,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Procedure,Negative
A1PP2Z9AV6MFSL,,605,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Observation,Neutral
A24RJ8NXCZGR7Z,,38,https://s3-us-west-2.amazonaws.com/audio-segments/p4/copiersegments/38.wav,Copy two singled-sided documents onto 2-sides of another piece of paper. Make two copies.,https://s3-us-west-2.amazonaws.com/audio-segments/printer.jpg,Explanation,Positive
